,datetime,doy
0,2013-06-23 14:35:04,174
1,2013-07-25 03:13:36,206
2,2013-07-25 12:56:32,206
3,2013-08-08 06:49:52,220
4,2013-08-14 23:41:36,226
5,2013-08-14 23:50:32,226
